,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk,Foreign
458,27,female,2,own,little,little,343,6,domestic appliances,good,1.0
459,32,male,2,own,little,,4594,18,radio/TV,good,1.0
460,37,male,2,own,little,little,3620,36,furniture/equipment,good,1.0
461,36,male,2,own,little,little,1721,15,car,good,1.0
462,34,female,3,rent,little,moderate,3017,12,furniture/equipment,good,1.0
463,38,male,2,own,,moderate,754,12,education,good,1.0
464,34,male,2,own,little,,1950,18,business,good,1.0
465,63,male,2,own,little,little,2924,24,car,good,1.0
466,29,female,1,rent,little,little,1659,24,radio/TV,bad,0.0
467,32,male,2,own,,,7238,48,radio/TV,good,1.0
468,26,female,2,own,little,,2764,33,business,good,1.0
469,35,male,1,own,little,,4679,24,car,good,1.0
470,22,male,2,rent,moderate,moderate,3092,24,radio/TV,bad,0.0
471,23,female,2,own,little,little,448,6,education,bad,0.0
472,28,male,1,own,little,little,654,9,car,bad,0.0
473,36,male,3,own,,,1238,6,education,good,1.0
474,33,male,2,own,little,moderate,1245,18,radio/TV,bad,0.0
475,26,female,2,rent,little,little,3114,18,furniture/equipment,bad,0.0
476,24,male,2,own,quite rich,,2569,39,car,good,1.0
477,25,male,2,own,little,rich,5152,24,radio/TV,good,1.0
478,39,male,1,own,moderate,moderate,1037,12,business,good,1.0
479,44,male,2,own,little,little,1478,15,furniture/equipment,good,1.0
480,23,female,1,own,little,moderate,3573,12,radio/TV,good,1.0
481,26,male,2,own,little,moderate,1201,24,car,good,1.0
482,57,female,2,rent,rich,little,3622,30,furniture/equipment,good,1.0
483,30,female,2,own,rich,,960,15,furniture/equipment,good,1.0
484,44,male,2,own,quite rich,,1163,12,car,good,1.0
485,47,male,3,own,little,moderate,1209,6,car,bad,0.0
486,52,male,2,own,little,,3077,12,radio/TV,good,1.0
487,62,female,2,free,little,,3757,24,car,good,1.0
488,35,male,1,rent,moderate,,1418,10,car,good,1.0
489,26,male,2,rent,little,,3518,6,car,good,1.0
490,26,male,2,own,little,,1934,12,radio/TV,good,1.0
491,42,female,3,free,little,moderate,8318,27,business,bad,0.0
492,27,female,2,own,moderate,,1237,6,radio/TV,good,1.0
493,38,male,2,own,,moderate,368,6,radio/TV,good,1.0
494,39,male,1,rent,little,little,2122,12,car,good,1.0
495,20,male,2,own,,little,2996,24,furniture/equipment,bad,0.0
496,29,male,3,rent,moderate,moderate,9034,36,furniture/equipment,bad,0.0
497,40,male,2,own,little,,1585,24,furniture/equipment,good,1.0
498,32,male,1,own,little,moderate,1301,18,radio/TV,good,1.0
499,28,male,2,own,moderate,rich,1323,6,car,good,1.0
500,27,female,2,own,little,little,3123,24,car,bad,0.0
501,42,male,2,free,little,little,5493,36,car,good,1.0
502,49,male,2,own,moderate,rich,1126,9,radio/TV,good,1.0
503,38,male,2,own,moderate,moderate,1216,24,radio/TV,bad,0.0
504,24,female,2,rent,little,little,1207,24,car,bad,0.0
505,27,male,1,own,,,1309,10,car,bad,0.0
506,36,male,2,own,quite rich,rich,2360,15,car,good,1.0
507,34,male,3,own,moderate,moderate,6850,15,car,bad,0.0
508,28,male,2,own,little,,1413,24,radio/TV,good,1.0
509,45,male,3,own,moderate,,8588,39,car,good,1.0
510,26,male,2,own,little,little,759,12,car,bad,0.0
511,32,male,3,free,little,,4686,36,car,good,1.0
512,26,male,2,rent,little,rich,2687,15,business,good,1.0
513,20,male,2,rent,little,moderate,585,12,radio/TV,good,1.0
514,54,male,2,own,,,2255,24,car,good,1.0
515,37,female,2,own,little,little,609,6,car,good,1.0
516,40,male,1,own,little,little,1361,6,car,good,1.0
517,23,female,2,rent,little,,7127,36,furniture/equipment,bad,0.0
518,43,male,2,own,moderate,little,1203,6,car,good,1.0
519,36,male,2,free,,,700,6,radio/TV,good,1.0
520,44,male,2,free,little,,5507,24,repairs,good,1.0
521,24,female,2,own,little,little,3190,18,radio/TV,bad,0.0
522,53,male,2,free,little,little,7119,48,furniture/equipment,bad,0.0
523,23,female,2,own,moderate,,3488,24,car,good,1.0
524,26,female,1,own,little,moderate,1113,18,radio/TV,good,1.0
525,30,male,2,own,little,moderate,7966,26,car,good,1.0
526,31,female,2,own,moderate,,1532,15,education,good,1.0
527,42,male,1,own,little,,1503,4,radio/TV,good,1.0
528,31,male,2,rent,little,little,2302,36,radio/TV,bad,0.0
529,41,male,1,own,little,little,662,6,car,good,1.0
530,32,male,2,own,little,moderate,2273,36,education,good,1.0
531,28,female,2,rent,moderate,moderate,2631,15,car,bad,0.0
532,41,male,2,rent,little,,1503,12,car,good,1.0
533,26,male,2,own,moderate,,1311,24,radio/TV,good,1.0
534,25,male,2,own,,,3105,24,radio/TV,good,1.0
535,33,male,2,rent,little,rich,2319,21,education,bad,0.0
536,75,female,3,own,,little,1374,6,car,good,1.0
537,37,female,2,own,little,moderate,3612,18,furniture/equipment,good,1.0
538,42,male,3,free,little,little,7763,48,car,bad,0.0
539,45,female,1,own,little,rich,3049,18,furniture/equipment,good,1.0
540,23,male,2,rent,little,moderate,1534,12,radio/TV,bad,0.0
541,60,male,2,free,little,,2032,24,car,good,1.0
542,31,male,2,own,,little,6350,30,furniture/equipment,bad,0.0
543,34,male,1,own,little,rich,2864,18,furniture/equipment,bad,0.0
544,61,male,1,own,little,,1255,12,car,good,1.0
545,43,male,2,free,little,little,1333,24,car,bad,0.0
546,37,female,2,own,little,,2022,24,car,good,1.0
547,32,male,2,own,little,,1552,24,radio/TV,good,1.0
548,24,female,1,own,little,little,626,12,radio/TV,bad,0.0
549,35,male,2,free,,,8858,48,car,good,1.0
550,23,female,2,own,,,996,12,repairs,good,1.0
551,45,male,1,own,quite rich,,1750,6,radio/TV,good,1.0
552,34,male,2,own,little,little,6999,48,radio/TV,bad,0.0
553,27,male,2,own,moderate,moderate,1995,12,car,good,1.0
554,67,female,3,own,little,moderate,1199,9,education,good,1.0
555,22,male,2,own,little,moderate,1331,12,radio/TV,bad,0.0
556,28,female,2,own,moderate,moderate,2278,18,car,bad,0.0
557,29,female,2,own,,,5003,21,car,bad,0.0
558,27,male,2,own,little,little,3552,24,furniture/equipment,bad,0.0
559,31,male,1,own,little,moderate,1928,18,furniture/equipment,bad,0.0
560,49,male,2,free,,little,2964,24,car,good,1.0
561,24,male,1,rent,little,little,1546,24,radio/TV,bad,0.0
562,29,female,2,own,little,rich,683,6,radio/TV,good,1.0
563,37,male,2,free,,moderate,12389,36,car,bad,0.0
564,37,male,3,own,,moderate,4712,24,business,good,1.0
565,23,female,2,rent,moderate,moderate,1553,24,radio/TV,good,1.0
566,36,male,2,own,little,little,1372,12,car,bad,0.0
567,34,male,2,own,rich,,2578,24,radio/TV,good,1.0
568,41,male,2,own,,moderate,3979,48,radio/TV,good,1.0
569,31,female,2,own,little,little,6758,48,radio/TV,bad,0.0
570,23,female,1,rent,little,little,3234,24,furniture/equipment,bad,0.0
571,38,male,2,own,little,,5954,30,radio/TV,good,1.0
572,26,female,3,rent,,,5433,24,car,good,1.0
573,22,female,1,own,little,little,806,15,business,good,1.0
574,27,male,1,own,little,moderate,1082,9,radio/TV,good,1.0
575,24,female,2,own,little,,2788,15,furniture/equipment,good,1.0
576,27,female,2,own,little,moderate,2930,12,radio/TV,good,1.0
577,33,female,2,own,,,1927,24,education,good,1.0
578,27,male,2,own,little,moderate,2820,36,car,bad,0.0
579,27,male,1,own,little,,937,24,education,good,1.0
580,30,male,2,own,little,moderate,1056,18,car,bad,0.0
581,49,male,1,own,little,moderate,3124,12,car,good,1.0
582,26,female,2,rent,little,,1388,9,furniture/equipment,good,1.0
583,33,male,1,rent,little,moderate,2384,36,repairs,bad,0.0
584,52,female,3,free,,,2133,12,car,good,1.0
585,20,female,2,rent,little,little,2039,18,furniture/equipment,bad,0.0
586,36,male,2,rent,little,little,2799,9,car,good,1.0
587,21,male,1,own,little,little,1289,12,furniture/equipment,good,1.0
588,47,male,1,own,little,little,1217,18,domestic appliances,bad,0.0
589,60,male,2,own,little,little,2246,12,furniture/equipment,bad,0.0
590,58,female,1,own,little,little,385,12,radio/TV,good,1.0
591,42,female,2,rent,,moderate,1965,24,car,good,1.0
592,36,female,1,own,rich,,1572,21,business,good,1.0
593,20,female,1,rent,little,moderate,2718,24,car,bad,0.0
594,40,male,3,own,,little,1358,24,vacation/others,bad,0.0
595,32,female,1,own,moderate,moderate,931,6,car,bad,0.0
596,23,female,2,rent,little,little,1442,24,car,bad,0.0
597,36,male,1,own,little,moderate,4241,24,business,bad,0.0
598,31,male,2,own,little,,2775,18,car,bad,0.0
599,32,male,2,free,little,,3863,24,business,good,1.0
600,45,female,2,own,little,moderate,2329,7,radio/TV,good,1.0
601,30,female,2,own,little,moderate,918,9,furniture/equipment,bad,0.0
602,34,female,1,free,little,moderate,1837,24,education,bad,0.0
603,28,female,3,own,little,,3349,36,furniture/equipment,bad,0.0
604,23,female,2,own,little,rich,1275,10,furniture/equipment,good,1.0
605,22,male,2,own,quite rich,little,2828,24,furniture/equipment,good,1.0
606,74,male,3,own,little,,4526,24,business,good,1.0
607,50,female,2,free,moderate,moderate,2671,36,radio/TV,bad,0.0
608,33,male,2,own,little,,2051,18,radio/TV,good,1.0
609,45,male,2,free,,,1300,15,car,good,1.0
610,22,female,2,own,moderate,little,741,12,domestic appliances,bad,0.0
611,48,female,1,free,moderate,rich,1240,10,car,bad,0.0
612,29,female,2,own,rich,little,3357,21,radio/TV,good,1.0
613,22,female,2,rent,little,little,3632,24,car,good,1.0
614,22,female,2,own,little,,1808,18,furniture/equipment,bad,0.0
615,48,male,3,own,,moderate,12204,48,business,good,1.0
616,27,male,3,free,,moderate,9157,60,radio/TV,good,1.0
617,37,male,2,rent,little,little,3676,6,car,good,1.0
618,21,female,2,rent,moderate,moderate,3441,30,furniture/equipment,bad,0.0
619,49,male,1,own,little,,640,12,car,good,1.0
620,27,male,2,own,little,moderate,3652,21,business,good,1.0
621,32,male,2,own,little,,1530,18,car,bad,0.0
622,38,male,2,own,,,3914,48,business,bad,0.0
623,22,female,2,rent,little,little,1858,12,furniture/equipment,good,1.0
624,65,male,2,free,little,little,2600,18,radio/TV,bad,0.0
625,35,male,2,own,,,1979,15,radio/TV,good,1.0
626,41,male,2,own,little,rich,2116,6,furniture/equipment,good,1.0
627,29,male,2,own,moderate,moderate,1437,9,car,bad,0.0
628,36,male,2,own,quite rich,,4042,42,furniture/equipment,good,1.0
629,64,male,1,own,,,3832,9,education,good,1.0
630,28,female,2,own,little,little,3660,24,radio/TV,good,1.0
631,44,male,2,own,little,little,1553,18,furniture/equipment,bad,0.0
632,23,male,2,own,,moderate,1444,15,radio/TV,good,1.0
633,19,female,2,rent,little,,1980,9,furniture/equipment,bad,0.0
634,25,female,1,own,little,moderate,1355,24,car,bad,0.0
635,47,male,2,own,little,,1393,12,education,good,1.0
636,28,female,2,own,quite rich,,1376,24,radio/TV,good,1.0
637,21,male,2,own,little,,15653,60,radio/TV,good,1.0
638,34,female,2,own,little,,1493,12,radio/TV,good,1.0
639,26,male,2,own,little,little,4370,42,radio/TV,bad,0.0
640,27,female,0,own,little,little,750,18,education,bad,0.0
641,38,male,1,own,little,moderate,1308,15,repairs,good,1.0
642,40,male,3,own,moderate,,4623,15,education,bad,0.0
643,33,male,2,own,little,,1851,24,radio/TV,good,1.0
644,32,male,3,own,little,little,1880,18,radio/TV,good,1.0
645,27,male,2,rent,,,7980,36,business,bad,0.0
646,32,male,2,own,little,little,4583,30,furniture/equipment,good,1.0
647,26,female,2,own,quite rich,,1386,12,car,bad,0.0
648,38,male,2,free,little,rich,947,24,car,bad,0.0
649,40,male,1,rent,little,little,684,12,education,bad,0.0
650,50,male,3,free,little,little,7476,48,education,good,1.0
651,37,male,1,own,little,moderate,1922,12,furniture/equipment,bad,0.0
652,45,male,2,own,little,little,2303,24,car,bad,0.0
653,42,male,3,own,moderate,moderate,8086,36,car,bad,0.0
654,35,male,2,own,little,,2346,24,car,good,1.0
655,22,male,2,free,little,little,3973,14,car,good,1.0
656,41,male,1,own,little,moderate,888,12,car,bad,0.0
657,37,male,2,own,,,10222,48,radio/TV,good,1.0
658,28,female,2,own,little,moderate,4221,30,business,good,1.0
659,41,male,2,own,little,moderate,6361,18,furniture/equipment,good,1.0
660,23,male,2,rent,little,rich,1297,12,radio/TV,good,1.0
661,23,male,2,own,,little,900,12,car,bad,0.0
662,50,male,2,own,little,,2241,21,furniture/equipment,good,1.0
663,35,male,3,own,little,moderate,1050,6,furniture/equipment,good,1.0
664,50,female,1,own,little,rich,1047,6,education,good,1.0
665,27,male,3,own,little,,6314,24,vacation/others,good,1.0
666,34,male,2,own,rich,moderate,3496,30,furniture/equipment,good,1.0
667,27,female,2,own,little,,3609,48,business,good,1.0
668,43,male,2,rent,little,little,4843,12,car,bad,0.0
669,47,male,2,own,little,rich,3017,30,radio/TV,good,1.0
670,27,male,1,own,moderate,,4139,24,business,good,1.0
671,31,male,2,own,moderate,,5742,36,business,good,1.0
672,42,male,3,own,little,,10366,60,car,good,1.0
673,24,male,2,own,quite rich,,2080,6,car,good,1.0
674,41,male,1,own,quite rich,,2580,21,business,bad,0.0
675,26,female,3,rent,little,,4530,30,radio/TV,good,1.0
676,33,male,2,own,little,,5150,24,furniture/equipment,good,1.0
677,24,male,2,own,moderate,moderate,5595,72,radio/TV,bad,0.0
678,64,male,1,rent,little,little,2384,24,radio/TV,good,1.0
679,26,female,2,own,little,,1453,18,radio/TV,good,1.0
680,56,female,2,own,little,,1538,6,education,good,1.0
681,37,male,2,free,,,2279,12,radio/TV,good,1.0
682,33,male,2,own,little,,1478,15,radio/TV,good,1.0
683,47,male,2,free,little,,5103,24,radio/TV,good,1.0
684,31,male,1,own,moderate,moderate,9857,36,business,good,1.0
685,34,male,2,free,,,6527,60,car,good,1.0
686,27,male,2,own,,rich,1347,10,radio/TV,good,1.0
687,30,male,2,free,moderate,moderate,2862,36,car,good,1.0
688,35,male,2,own,moderate,,2753,9,radio/TV,good,1.0
689,31,male,2,own,rich,little,3651,12,car,good,1.0
690,25,male,2,own,little,little,975,15,furniture/equipment,good,1.0
691,25,female,1,own,moderate,moderate,2631,15,repairs,good,1.0
692,29,male,2,own,moderate,moderate,2896,24,radio/TV,good,1.0
693,44,male,1,own,,little,4716,6,car,good,1.0
694,28,male,2,own,little,,2284,24,radio/TV,good,1.0
695,50,male,2,rent,quite rich,,1236,6,car,good,1.0
696,29,male,2,own,little,moderate,1103,12,radio/TV,good,1.0
697,38,female,0,own,little,,926,12,car,good,1.0
698,24,male,2,own,little,,1800,18,radio/TV,good,1.0
699,40,male,3,rent,little,rich,1905,15,education,good,1.0
700,29,female,1,rent,quite rich,,1123,12,furniture/equipment,bad,0.0
701,46,male,2,free,little,little,6331,48,car,bad,0.0
702,47,female,2,free,moderate,rich,1377,24,radio/TV,good,1.0
703,41,male,2,own,moderate,moderate,2503,30,business,good,1.0
704,32,female,2,own,little,moderate,2528,27,business,good,1.0
705,35,female,2,free,quite rich,,5324,15,car,good,1.0
706,24,male,2,own,moderate,moderate,6560,48,car,bad,0.0
707,25,female,2,rent,little,moderate,2969,12,furniture/equipment,bad,0.0
708,25,female,2,own,little,moderate,1206,9,radio/TV,good,1.0
709,37,male,1,own,little,moderate,2118,9,radio/TV,good,1.0
710,32,male,3,own,quite rich,,629,18,radio/TV,good,1.0
711,35,female,2,free,little,little,1198,6,education,bad,0.0
712,46,male,3,own,,,2476,21,car,good,1.0
713,25,male,1,own,little,little,1138,9,radio/TV,good,1.0
714,27,male,3,own,little,moderate,14027,60,car,bad,0.0
715,63,male,2,own,,,7596,30,car,good,1.0
716,40,male,2,own,,,3077,30,radio/TV,good,1.0
717,32,male,3,free,little,,1505,18,radio/TV,good,1.0
718,31,male,2,own,,rich,3148,24,radio/TV,good,1.0
719,31,male,2,own,moderate,moderate,6148,20,car,good,1.0
720,34,male,3,own,little,rich,1337,9,radio/TV,bad,0.0
721,24,female,2,rent,rich,moderate,433,6,education,bad,0.0
722,24,female,1,own,little,little,1228,12,car,bad,0.0
723,66,female,1,own,quite rich,moderate,790,9,radio/TV,good,1.0
724,21,female,2,rent,little,,2570,27,car,bad,0.0
725,41,female,1,own,rich,,250,6,car,good,1.0
726,47,male,1,own,quite rich,,1316,15,radio/TV,good,1.0
727,25,female,2,rent,little,little,1882,18,radio/TV,bad,0.0
728,59,female,2,rent,little,moderate,6416,48,business,bad,0.0
729,36,male,2,own,rich,rich,1275,24,business,good,1.0
730,33,male,2,own,little,moderate,6403,24,radio/TV,good,1.0
731,21,male,1,rent,little,little,1987,24,radio/TV,bad,0.0
732,44,female,1,own,little,moderate,760,8,radio/TV,good,1.0
733,28,female,2,rent,rich,,2603,24,car,good,1.0
734,37,female,2,own,little,,3380,4,car,good,1.0
735,29,female,0,own,,moderate,3990,36,domestic appliances,good,1.0
736,23,female,3,rent,little,moderate,11560,24,car,bad,0.0
737,35,male,1,own,moderate,little,4380,18,car,good,1.0
738,45,male,3,own,little,,6761,6,car,good,1.0
739,26,female,1,rent,moderate,moderate,4280,30,business,bad,0.0
740,32,male,2,own,moderate,little,2325,24,car,good,1.0
741,23,male,1,own,little,moderate,1048,10,radio/TV,good,1.0
742,41,male,2,own,,,3160,21,radio/TV,good,1.0
743,22,male,2,own,quite rich,little,2483,24,furniture/equipment,good,1.0
744,30,male,3,own,,little,14179,39,furniture/equipment,good,1.0
745,28,male,1,own,little,little,1797,13,business,good,1.0
746,23,female,2,rent,little,little,2511,15,car,good,1.0
747,37,female,1,own,little,little,1274,12,car,bad,0.0
748,26,male,2,own,,,5248,21,car,good,1.0
749,33,male,2,own,little,,3029,15,car,good,1.0
750,49,female,2,own,little,little,428,6,furniture/equipment,good,1.0
751,23,female,1,own,little,little,976,18,car,bad,0.0
752,23,female,1,rent,moderate,moderate,841,12,business,good,1.0
753,25,female,2,own,little,,5771,30,radio/TV,good,1.0
754,55,male,2,free,rich,,1555,12,repairs,bad,0.0
755,32,female,2,rent,,little,1285,24,car,bad,0.0
756,74,male,0,own,little,rich,1299,6,car,good,1.0
757,39,male,2,free,,rich,1271,15,radio/TV,bad,0.0
758,31,male,2,own,little,,1393,24,car,good,1.0
759,35,male,2,own,little,little,691,12,car,bad,0.0
760,59,female,2,own,,,5045,15,car,good,1.0
761,24,female,2,rent,little,little,2124,18,furniture/equipment,bad,0.0
762,24,male,1,own,little,little,2214,12,radio/TV,good,1.0
763,30,male,3,free,,,12680,21,car,bad,0.0
764,27,male,2,own,moderate,,2463,24,car,good,1.0
765,40,male,1,own,little,moderate,1155,12,radio/TV,good,1.0
766,31,male,1,own,little,little,3108,30,furniture/equipment,bad,0.0
767,31,female,2,rent,,,2901,10,car,good,1.0
768,28,male,2,rent,little,moderate,3617,12,furniture/equipment,good,1.0
769,63,male,1,own,little,,1655,12,radio/TV,good,1.0
770,26,female,2,rent,,little,2812,24,car,good,1.0
771,25,female,3,own,little,little,8065,36,education,bad,0.0
772,36,male,3,own,little,,3275,21,car,good,1.0
773,52,male,2,own,moderate,,2223,24,radio/TV,good,1.0
774,66,male,0,free,quite rich,rich,1480,12,car,good,1.0
775,25,female,2,rent,,little,1371,24,car,bad,0.0
776,37,male,2,own,little,,3535,36,car,good,1.0
777,25,female,2,own,little,little,3509,18,radio/TV,good,1.0
778,38,male,3,own,rich,,5711,36,car,good,1.0
779,67,female,2,own,little,moderate,3872,18,repairs,good,1.0
780,25,male,2,own,little,moderate,4933,39,radio/TV,bad,0.0
781,60,male,2,own,rich,,1940,24,car,good,1.0
782,31,male,1,own,little,moderate,1410,12,education,good,1.0
783,23,female,1,own,moderate,moderate,836,12,car,bad,0.0
784,60,male,3,own,,moderate,6468,20,car,good,1.0
785,35,male,1,own,rich,moderate,1941,18,business,good,1.0
786,40,male,2,own,quite rich,,2675,22,radio/TV,good,1.0
787,38,male,2,own,,,2751,48,car,good,1.0
788,50,male,2,free,little,moderate,6224,48,education,bad,0.0
789,27,male,2,own,little,little,5998,40,education,bad,0.0
790,39,female,2,own,little,moderate,1188,21,business,bad,0.0
791,41,male,3,own,,,6313,24,car,good,1.0
792,27,male,2,own,,,1221,6,furniture/equipment,good,1.0
793,51,male,2,free,little,rich,2892,24,furniture/equipment,good,1.0
794,32,male,2,rent,quite rich,,3062,24,furniture/equipment,good,1.0
795,22,female,2,rent,moderate,,2301,9,furniture/equipment,good,1.0
796,51,male,2,free,,little,7511,18,car,bad,0.0
797,22,female,1,rent,little,,1258,12,furniture/equipment,good,1.0
798,54,male,2,own,,,717,24,car,good,1.0
799,35,male,0,own,,moderate,1549,9,car,good,1.0
800,54,male,2,free,little,,1597,24,education,good,1.0
801,48,female,1,rent,little,moderate,1795,18,radio/TV,good,1.0
802,24,female,2,own,little,little,4272,20,furniture/equipment,good,1.0
803,35,male,2,own,,,976,12,radio/TV,good,1.0
804,24,female,0,rent,,moderate,7472,12,car,good,1.0
805,24,male,2,own,little,little,9271,36,car,bad,0.0
806,26,male,1,own,little,moderate,590,6,radio/TV,good,1.0
807,65,male,2,own,,,930,12,radio/TV,good,1.0
808,55,male,3,free,little,moderate,9283,42,car,good,1.0
809,26,female,0,rent,little,moderate,1778,15,car,bad,0.0
810,26,male,2,own,little,moderate,907,8,business,good,1.0
811,28,male,1,own,little,moderate,484,6,radio/TV,good,1.0
812,24,male,2,own,little,little,9629,36,car,bad,0.0
813,54,male,2,own,little,little,3051,48,domestic appliances,bad,0.0
814,46,male,2,free,little,little,3931,48,car,bad,0.0
815,54,female,2,rent,little,moderate,7432,36,car,good,1.0
816,62,male,2,own,quite rich,,1338,6,domestic appliances,good,1.0
817,24,female,2,rent,little,,1554,6,radio/TV,good,1.0
818,43,male,3,own,little,little,15857,36,vacation/others,good,1.0
819,26,male,2,own,little,little,1345,18,radio/TV,bad,0.0
820,27,male,2,own,little,,1101,12,car,good,1.0
821,24,male,2,own,little,rich,3016,12,radio/TV,good,1.0
822,41,male,2,own,little,little,2712,36,furniture/equipment,bad,0.0
823,47,male,1,own,little,little,731,8,car,good,1.0
824,35,male,3,own,little,,3780,18,furniture/equipment,good,1.0
825,30,male,2,own,little,little,1602,21,car,good,1.0
826,33,female,2,rent,little,little,3966,18,car,bad,0.0
827,36,male,2,own,little,,4165,18,business,bad,0.0
828,47,male,2,free,,little,8335,36,car,bad,0.0
829,38,male,2,free,,moderate,6681,48,business,good,1.0
830,44,male,2,own,quite rich,,2375,24,business,good,1.0
831,23,female,2,rent,little,little,1216,18,car,bad,0.0
832,29,male,2,rent,little,little,11816,45,business,bad,0.0
833,42,female,2,own,,moderate,5084,24,radio/TV,good,1.0
834,25,female,1,own,little,rich,2327,15,radio/TV,bad,0.0
835,48,male,2,own,little,little,1082,12,car,bad,0.0
836,21,female,2,own,,,886,12,radio/TV,good,1.0
837,23,female,1,rent,little,,601,4,furniture/equipment,good,1.0
838,63,male,2,own,little,little,2957,24,car,good,1.0
839,46,male,2,own,little,,2611,24,radio/TV,good,1.0
840,29,male,2,own,little,little,5179,36,furniture/equipment,bad,0.0
841,28,male,1,own,little,,2993,21,car,good,1.0
842,23,female,2,own,little,,1943,18,repairs,bad,0.0
843,50,male,2,own,little,,1559,24,business,good,1.0
844,47,male,2,own,little,,3422,18,furniture/equipment,good,1.0
845,35,male,2,own,,moderate,3976,21,furniture/equipment,good,1.0
846,68,male,2,rent,,,6761,18,car,bad,0.0
847,28,male,2,own,little,,1249,24,car,good,1.0
848,59,male,2,own,little,little,1364,9,radio/TV,good,1.0
849,57,male,1,own,little,little,709,12,radio/TV,bad,0.0
850,33,male,2,rent,little,little,2235,20,car,bad,0.0
851,43,male,2,own,,,4042,24,car,good,1.0
852,35,male,2,free,little,,1471,15,radio/TV,good,1.0
853,32,male,1,free,little,little,1442,18,car,bad,0.0
854,45,male,2,own,little,,10875,36,car,good,1.0
855,33,male,2,own,moderate,,1474,24,car,good,1.0
856,40,female,2,own,,,894,10,education,good,1.0
857,28,male,2,free,little,,3343,15,furniture/equipment,good,1.0
858,29,female,2,own,little,little,3959,15,car,bad,0.0
859,26,male,2,rent,moderate,,3577,9,car,good,1.0
860,27,male,2,own,rich,,5804,24,car,good,1.0
861,28,male,2,own,little,,2169,18,business,bad,0.0
862,35,female,2,own,little,little,2439,24,radio/TV,bad,0.0
863,32,male,1,own,rich,,4526,27,furniture/equipment,good,1.0
864,25,male,1,rent,little,,2210,10,furniture/equipment,bad,0.0
865,20,female,2,rent,quite rich,,2221,15,furniture/equipment,good,1.0
866,27,female,2,own,little,little,2389,18,radio/TV,good,1.0
867,42,male,2,own,little,,3331,12,furniture/equipment,good,1.0
868,37,male,2,own,,,7409,36,business,good,1.0
869,24,female,2,rent,little,little,652,12,furniture/equipment,good,1.0
870,40,female,2,own,quite rich,,7678,36,furniture/equipment,good,1.0
871,46,male,2,own,little,rich,1343,6,car,good,1.0
872,26,male,2,own,moderate,little,1382,24,business,good,1.0
873,24,female,2,own,,,874,15,domestic appliances,good,1.0
874,29,male,1,own,little,little,3590,12,furniture/equipment,good,1.0
875,40,female,2,own,rich,moderate,1322,11,car,good,1.0
876,36,male,3,free,little,little,1940,18,radio/TV,good,1.0
877,28,male,2,own,little,,3595,36,radio/TV,good,1.0
878,27,male,3,free,little,little,1422,9,car,bad,0.0
879,36,male,2,own,,,6742,30,radio/TV,good,1.0
880,38,male,3,own,little,,7814,24,car,good,1.0
881,48,male,2,free,,,9277,24,car,good,1.0
882,36,male,2,own,,moderate,2181,30,car,good,1.0
883,65,female,0,own,little,,1098,18,radio/TV,good,1.0
884,43,male,2,own,little,moderate,4057,24,furniture/equipment,bad,0.0
885,53,female,2,own,little,little,795,12,education,bad,0.0
886,34,male,2,own,,moderate,2825,24,business,good,1.0
887,23,male,2,own,little,moderate,15672,48,business,bad,0.0
888,34,male,3,own,little,,6614,36,car,good,1.0
889,40,male,2,rent,,,7824,28,car,good,1.0
890,43,male,3,own,little,little,2442,27,business,good,1.0
891,46,male,2,own,little,,1829,15,radio/TV,good,1.0
892,38,male,1,own,little,little,2171,12,car,good,1.0
893,34,male,2,own,little,moderate,5800,36,car,good,1.0
894,29,male,2,own,,,1169,18,radio/TV,good,1.0
895,31,male,3,own,,,8947,36,car,good,1.0
896,28,female,3,rent,little,little,2606,21,radio/TV,good,1.0
897,35,female,2,own,rich,,1592,12,furniture/equipment,good,1.0
898,33,female,1,rent,,,2186,15,furniture/equipment,good,1.0
899,42,male,2,own,little,little,4153,18,furniture/equipment,bad,0.0
900,43,male,2,rent,little,little,2625,16,car,bad,0.0
901,44,male,2,own,,,3485,20,car,good,1.0
902,42,male,2,free,,,10477,36,car,good,1.0
903,40,male,2,rent,,,1386,15,radio/TV,good,1.0
904,36,male,3,own,little,,1278,24,radio/TV,good,1.0
905,20,male,3,rent,little,little,1107,12,radio/TV,good,1.0
906,24,male,1,own,,little,3763,21,car,good,1.0
907,27,male,2,own,,moderate,3711,36,education,good,1.0
908,46,female,1,own,little,,3594,15,car,good,1.0
909,33,female,1,own,,moderate,3195,9,car,good,1.0
910,34,female,2,own,little,,4454,36,radio/TV,good,1.0
911,25,female,1,own,little,moderate,4736,24,furniture/equipment,bad,0.0
912,25,female,2,own,,moderate,2991,30,radio/TV,good,1.0
913,28,male,2,own,rich,,2142,11,business,good,1.0
914,31,male,2,rent,little,little,3161,24,business,bad,0.0
915,32,female,3,own,little,moderate,18424,48,vacation/others,bad,0.0
916,32,male,2,own,moderate,,2848,10,car,good,1.0
917,68,male,3,own,little,little,14896,6,car,bad,0.0
918,33,male,2,own,moderate,little,2359,24,furniture/equipment,bad,0.0
919,39,male,3,rent,little,little,3345,24,furniture/equipment,bad,0.0
920,28,female,2,own,little,,1817,18,furniture/equipment,good,1.0
921,37,male,3,own,quite rich,,12749,48,radio/TV,good,1.0
